Air quality modeling
Analytics
Applied Math
Astronomy
Atmospheric Sciences
Batch Systems
Bibliography Reference Manager
biochemistry
Bioinformatics
brain imaging
Build tools
C
C++
chemistry
Cluster Management
Clustering
Command Line XML toolkit
Compilers
Compilers and Tools
Computational chemistry
computational fluid dynamics
Computer aided engineering
Computer vision
Configuration Management
Crystallography tools
CUDA
Data Mining
Data Serialization
Data Storage
Data tools
Database
Debugging
Delaunay triangulation
earth system modeling
Electron microscopy analysis
electronic structure
Emulators
engineering
Environment modules
Expression analysis
File backup
File compression
File conversion
File Reading/Writing
File transfer
Filesystem
Finite difference
finite element 
fluid dynamics
Fortran
genetic maps
Genetic trait analysis
Genetics
Genome Annotation
Genomic alignments
Genomic analysis
Genomic modeling
Genomic sequencing
Genomic viewer
genomics
geophysical modeling
Global Navigation
GPU
Graphics
Graphing
GUI
Hadoop
Haskell
Healthcare
homology modelling
HTC
HTTP and proxy server
I/O
IDE
image processing
Image Tool
Image viewer
Indexing/Searching
Integrated Development Environment
Java
Kinetic Modelling
Library Manager
Lua
Machine learning
Machine Metrics
materials
Materials modeling
Math
Maxwell equation solver
metagenomics
microbial genomics
Molecular Docking
molecular dynamics
molecular mechanics
Molecular orbital theory
Molecular viewers
MPI
multiphysics
Natural Language Processing
Network Analysis
Network performance
Neuroscience
NMR Structure
OSG
Parallelization
particle physics simulation
perl
Phylogenetic analysis
phylogenetics
phyologenetic analysis
Physics
Platform Management
population genomics
Profiling
Protein modeling and analysis
Proxy
Python
Python bindings for C/C++ libraries
quantum chemistry
R
Radar processing
Relational Database
Resource Management
Runtime
Scala
scattering theory
Scripting language
semiempirical quantum chemistry
Software Performance Management
software testing
SSH
Structural biology
test
Text editor
Toolkits
Tools
UML
Utility
versioning
Video Decoding
Virtual Machine
visualization
X11
XML parser
